ProductID,ProductName,Category,Subcategory,Brand,CostPrice,SellingPrice,Rating
P00001,Zenova Outdoor B366,Sports & Fitness,Outdoor,Zenova,1788.18,2507.17,3.9
P00002,Echo Footwear C863,Fashion,FOOTWEAR,Echo,845.18,1328.42,4.0
P00003,Kairo Non-Fiction D326,Books,Non-Fiction,Kairo,373.60,480.82,4.1
P00004,Aster Smartphones E615,Electronics,Smartphones,Aster,11102.85,22999.99,4.0
P00005,Echo Bedding F477,Home & Kitchen,Bedding,Echo,1502.75,3092.52,3.9
P00006,Altura Nutrition Accessories G780,Sports & Fitness,Nutrition Accessories,Altura,5818.13,10279.31,4.3
P00007,Rivon Personal Care H289,Beauty,Personal Care,Rivon,956.88,1388.89,3.4
P00008,Nexa Laptops I826,Electronics,Laptops,Nexa,6983.11,9409.61,
P00009,Solace Nutrition Accessories J609,Sports & Fitness,Nutrition Accessories,Solace,1921.32,3444.77,5.0
P00010,Zenix Cleaning K397,Appliances,Cleaning,Zenix,8476.73,11959.69,3.8
P00011, PrimeNest Hair Care L873,Beauty,Hair Care,PrimeNest,728.61,1244.10,3.9
P00012,Aster Furniture M919,Home & Kitchen,Furniture,Aster,2176.85,3150.25,4.1
P00013,Vistara Footwear N18,Fashion,Footwear,Vistara,677.89,921.15,3.7
P00014,UrbanPeak Sportswear O12,Sports & Fitness,Sportswear,UrbanPeak,2598.50,3118.82,3.8
P00015,MintLeaf Fragrance P860,Beauty,Fragrance,MintLeaf,304.97,468.21,3.1
P00016,Nexa Headphones Q633,Electronics,Headphones,Nexa,16530.45,19834.82,3.7
P00017,PrimeNest Yoga R998,Sports & Fitness,Yoga,PrimeNest,2512.89,3357.19,3.9
P00018,Nova Home Appliances S912,Appliances,Home Appliances,Nova,3308.37,4755.02,3.6
P00019,Cresta Watches T505,Fashion,Watches,Cresta,1053.44,1429.27,4.0
P00020,MintLeaf Personal Care U470,Beauty,Personal Care,MintLeaf,843.87,1337.07,4.2
P00021,Kairo Footwear V442,Fashion,Footwear,Kairo,798.94,1677.45,5.0
P00022,Nexa Men Clothing W275,Fashion,Men Clothing,Nexa,3108.64,5639.38,5.0
P00023,Orbito Bedding X510,Home & Kitchen,,Orbito,3346.11,5844.63,5.0
P00024,UrbanPeak Fiction Y45,Books,Fiction,UrbanPeak,645.18,,3.3
P00025,Nexa Footwear Z518,Fashion,Footwear,Nexa,1953.26,4042.26,4.0
P00026,Vistara Makeup A528,Beauty,,Vistara,486.09,865.96,0
P00027,Mira Personal Care B93,Beauty,Personal Care,Mira,1031.66,1501.01,6.2
P00028,Cresta Outdoor C540,Appliance,Outdoor,Cresta,2443.14,4328.33,3.0
P00029,Echo Cookware D665,Home & Kitchen,Cookware,Echo,1783.56,2619.91,4.5
P00030,Nexa Outdoor E50,Sports & Fitness,Outdoor,Nexa,1670.24,2731.88,3.8
P00031,Cresta Sportswear F868,Sports & Fitness,Sportswear,Cresta,2302.14,3030.89,3.9
P00032,BlueArc Cookware G529,Home & Kitchen,Cookware,BlueArc,1229.32,1527.48,4.2
P00033,Echo Accessories H174,Electronics,Accessories,Echo,8338.30,14972.49,3.9
P00034,Altura Furniture I376,Home & Kitchen,Furniture,Altura,1691.85,3078.22,4.3
P00035,Altura Storage J783,Home & Kitchen,Storage,Altura,2802.75,3798.00,3.9
P00036,UrbanPeak Storage K162,Home & Kitchen,Storage,UrbanPeak,2091.43,3105.00,4.7
P00037,Vertex Cookware L899,Home & Kitchen,Cookware,Vertex,1454.55,1860.64,4.0
P00038,Zenova Watches M635,Fashion,Watches,Zenova,914.80,1513.19,4.4
P00039,Nova Bedding N16,Home & Kitchen,Bedding,Nova,2444.12,4503.27,3.4
P00040,Solace Fiction O928,Books,Fiction,Solace,361.27,610.58,3.2
P00041,Kairo Bedding P840,Home & Kitchen,Bedding,Kairo,2322.73,4630.91,3.9
P00042,Vistara Accessories Q220,Electronics,Accessories,Vistara,10381.71,16309.12,4.1
P00043,Cresta Outdoor R937,Sports & Fitness,Outdoor,Cresta,2047.70,2721.26,4.0
P00044,Echo Cooling S528,Appliances,Cooling,Echo,3113.21,5260.88,2.5
P00045,MintLeaf Footwear T21,Fashion,Footwear,MintLeaf,869.12,1108.91,3.6
P00046,Rivon Accessories U829,Electronics,Accessories,Rivon,0,21504.69,3.3
P00047,NEXA CHILDREN V269,Books,Children,Nexa,367.69,745.39,4.2
